Number,Filename,label
1,dvs_hand_0714 757.jpg,Hand
2,dvs_hand_0714 653.jpg,Hand
3,dvs_hand_0714 536.jpg,Hand
4,dvs_hand_0714 729.jpg,Hand
5,dvs_hand_0714 384.jpg,Hand
6,dvs_hand_0714 140.jpg,Hand
7,dvs_hand_0714 671.jpg,Hand
8,dvs_hand_0714 051.jpg,Hand
9,dvs_hand_0714 325.jpg,Hand
10,dvs_hand_0714 669.jpg,Hand
11,dvs_hand_0714 311.jpg,Hand
12,dvs_hand_0714 487.jpg,Hand
13,dvs_hand_0714 626.jpg,Hand
14,dvs_hand_0714 587.jpg,Hand
15,dvs_hand_0714 915.jpg,Hand
16,dvs_hand_0714 919.jpg,Hand
17,dvs_hand_0714 860.jpg,Hand
18,dvs_hand_0714 327.jpg,Hand
19,dvs_hand_0714 688.jpg,Hand
20,dvs_hand_0714 248.jpg,Hand
21,dvs_hand_0714 589.jpg,Hand
22,dvs_hand_0714 427.jpg,Hand
23,dvs_hand_0714 779.jpg,Hand
24,dvs_hand_0714 665.jpg,Hand
25,dvs_hand_0714 582.jpg,Hand
26,dvs_hand_0714 592.jpg,Hand
27,dvs_hand_0714 866.jpg,Hand
28,dvs_hand_0714 152.jpg,Hand
29,dvs_hand_0714 354.jpg,Hand
30,dvs_hand_0714 243.jpg,Hand
31,dvs_hand_0714 177.jpg,Hand
32,dvs_hand_0714 900.jpg,Hand
33,dvs_hand_0714 751.jpg,Hand
34,dvs_hand_0714 786.jpg,Hand
35,dvs_hand_0714 510.jpg,Hand
36,dvs_hand_0714 527.jpg,Hand
37,dvs_hand_0714 639.jpg,Hand
38,dvs_hand_0714 883.jpg,Hand
39,dvs_hand_0714 719.jpg,Hand
40,dvs_hand_0714 654.jpg,Hand
41,dvs_hand_0714 295.jpg,Hand
42,dvs_hand_0714 410.jpg,Hand
43,dvs_hand_0714 780.jpg,Hand
44,dvs_hand_0714 925.jpg,Hand
45,dvs_hand_0714 454.jpg,Hand
46,dvs_hand_0714 864.jpg,Hand
47,dvs_hand_0714 811.jpg,Hand
48,dvs_hand_0714 675.jpg,Hand
49,dvs_hand_0714 129.jpg,Hand
50,dvs_hand_0714 923.jpg,Hand
51,dvs_hand_0714 355.jpg,Hand
52,dvs_hand_0714 701.jpg,Hand
53,dvs_hand_0714 670.jpg,Hand
54,dvs_hand_0714 868.jpg,Hand
55,dvs_hand_0714 379.jpg,Hand
56,dvs_hand_0714 637.jpg,Hand
57,dvs_hand_0714 350.jpg,Hand
58,dvs_hand_0714 116.jpg,Hand
59,dvs_hand_0714 769.jpg,Hand
